"occurrence_no","record_type","reid_no","collection_no","taxon_name","taxon_rank","taxon_no","matched_name","matched_rank","matched_no","early_interval","early_age","late_age","reference_no","lng","lat","genus","genus_no","family","family_no","order","order_no","class","class_no","phylum","phylum_no","genus_name","species_name","genus_reso","late_interval"
"199354","occurrence",NA,"20583","Mammut americanum","species","47865","Mammut americanum","species","47865","Late Pleistocene","0.126","0.0117","1785;1785","-60.799999","46.200001","Mammut","43274","Mammutidae","43273","Proboscidea","43230","Mammalia","36651","Chordata","33815","Mammut","americanum",NA,NA
"199407","occurrence",NA,"20591","Mammut americanum","species","47865","Mammut americanum","species","47865","Late Pleistocene","0.126","0.0117","1962;1962","-81.066666","31.916668","Mammut","43274","Mammutidae","43273","Proboscidea","43230","Mammalia","36651","Chordata","33815","Mammut","americanum",NA,NA
"199500","occurrence",NA,"20601","Mammut americanum","species","47865","Mammut americanum","species","47865","Late Pleistocene","0.126","0.0117","1786;1786","-64.599998","45.900002","Mammut","43274","Mammutidae","43273","Proboscidea","43230","Mammalia","36651","Chordata","33815","Mammut","americanum",NA,NA
"199513","occurrence",NA,"20603","Mammut americanum","species","47865","Mammut americanum","species","47865","Late Pleistocene","0.126","0.0117","2784;2784","-95.900002","32.799999","Mammut","43274","Mammutidae","43273","Proboscidea","43230","Mammalia","36651","Chordata","33815","Mammut","americanum",NA,NA
"199545","occurrence",NA,"20604","Mammut americanum","species","47865","Mammut americanum","species","47865","Late Pleistocene","0.126","0.0117","1962;1962","-81.066666","31.983334","Mammut","43274","Mammutidae","43273","Proboscidea","43230","Mammalia","36651","Chordata","33815","Mammut","americanum",NA,NA
"199606","occurrence",NA,"20610","Mammut americanum","species","47865","Mammut americanum","species","47865","Late Pleistocene","0.126","0.0117","1785;1785","-114.500000","62.500000","Mammut","43274","Mammutidae","43273","Proboscidea","43230","Mammalia","36651","Chordata","33815","Mammut","americanum",NA,NA
"199613","occurrence",NA,"20612","Mammut cf. americanum","species","47865","Mammut americanum","species","47865","Late Pleistocene","0.126","0.0117","2501;2501","-112.900002","42.799999","Mammut","43274","Mammutidae","43273","Proboscidea","43230","Mammalia","36651","Chordata","33815","Mammut","americanum","cf.",NA
"199629","occurrence",NA,"20613","Mammut americanum","species","47865","Mammut americanum","species","47865","Late Pleistocene","0.126","0.0117","1962;1962","-81.099998","32.000000","Mammut","43274","Mammutidae","43273","Proboscidea","43230","Mammalia","36651","Chordata","33815","Mammut","americanum",NA,NA
"199675","occurrence",NA,"20618","Mammut americanum","species","47865","Mammut americanum","species","47865","Late Pleistocene","0.126","0.0117","1785;1785","-81.300003","50.799999","Mammut","43274","Mammutidae","43273","Proboscidea","43230","Mammalia","36651","Chordata","33815","Mammut","americanum",NA,NA
"199755","occurrence",NA,"20626","Mammut americanum","species","47865","Mammut americanum","species","47865","Late Pleistocene","0.126","0.0117","1785;1785","-140.000000","68.199997","Mammut","43274","Mammutidae","43273","Proboscidea","43230","Mammalia","36651","Chordata","33815","Mammut","americanum",NA,NA
"199844","occurrence",NA,"20636","Mammut americanum","species","47865","Mammut americanum","species","47865","Late Pleistocene","0.126","0.0117","24950;24950","-81.449997","28.716667","Mammut","43274","Mammutidae","43273","Proboscidea","43230","Mammalia","36651","Chordata","33815","Mammut","americanum",NA,NA
"199871","occurrence",NA,"20638","Mammut americanum","species","47865","Mammut americanum","species","47865","Late Pleistocene","0.126","0.0117","3567;3567","-82.199997","28.799999","Mammut","43274","Mammutidae","43273","Proboscidea","43230","Mammalia","36651","Chordata","33815","Mammut","americanum",NA,NA
"199973","occurrence",NA,"20647","Mammut americanum","species","47865","Mammut americanum","species","47865","Late Pleistocene","0.126","0.0117","3567;3567","-82.731300","29.293600","Mammut","43274","Mammutidae","43273","Proboscidea","43230","Mammalia","36651","Chordata","33815","Mammut","americanum",NA,NA
"200022","occurrence",NA,"20653","Mammut americanum","species","47865","Mammut americanum","species","47865","Late Pleistocene","0.126","0.0117","3567;3567","-82.199997","28.799999","Mammut","43274","Mammutidae","43273","Proboscidea","43230","Mammalia","36651","Chordata","33815","Mammut","americanum",NA,NA
