"taxon_name","lng","lat","early_age","late_age","estimated_age","time_index","time_slice","col"
"Mammut_americanum",-84.071114,42.828609,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-85.360275,41.847221,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-85.341942,42.006668,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-86.196114,42.207779,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-85.90667,42.119999,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-86.138336,42.324165,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-83.789719,42.278332,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-83.965279,42.259167,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-83.98278,42.202221,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-83.68972,42.223057,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-83.481667,42.403057,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-85.772499,42.906666,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-84.748337,42.385555,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-84.925003,43.256943,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-83.326668,42.846668,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-82.980553,42.34,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-85.592781,42.486668,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-85.612503,42.472221,0.126,0.0117,0.06885,5,0.01585,"#656599"
"Mammut_americanum",-86.216667,42.426388,2.588,0.0117,1.29985,3,0.787,"#FFCC00"
"Mammut_americanum",-86.16111,42.57111,2.588,0.0117,1.29985,3,0.787,"#FFCC00"
