"","taxon_name","lng","lat","early_age","late_age","estimated_age","timeSlice"
"1:97","Mammut americanum",-86.783333,36.183334,0.126,0,0.063,0.01585
"1:98","Mammut americanum",-83.676666,42.775833,0.126,0.0117,0.06885,0.01585
"1:99","Mammut americanum",-83.898613,43.155277,0.126,0.0117,0.06885,0.01585
"1:100","Mammut americanum",-84.160004,43.297779,0.126,0.0117,0.06885,0.01585
"1:101","Mammut americanum",-85.419167,41.861389,0.126,0.0117,0.06885,0.01585
"1:102","Mammut americanum",-84.014999,41.905277,0.126,0.0117,0.06885,0.01585
"1:103","Mammut americanum",-86.118332,42.193054,0.126,0.0117,0.06885,0.01585
"1:104","Mammut americanum",-83.551392,42.15139,0.126,0.0117,0.06885,0.01585
"1:105","Mammut americanum",-83.460281,42.373333,0.126,0.0117,0.06885,0.01585
"1:106","Mammut americanum",-85.985275,42.975555,0.126,0.0117,0.06885,0.01585
"1:107","Mammut americanum",-85.140556,42.44278,0.126,0.0117,0.06885,0.01585
"1:108","Mammut americanum",-84.716667,43.415279,0.126,0.0117,0.06885,0.01585
"1:109","Mammut americanum",-85.619446,43.035557,0.126,0.0117,0.06885,0.01585
"1:110","Mammut americanum",-82.71833,43.374168,0.126,0.0117,0.06885,0.01585
"1:111","Mammut americanum",-83.868057,42.290279,0.126,0.0117,0.06885,0.01585
"1:112","Mammut americanum",-85.261108,42.646389,0.126,0.0117,0.06885,0.01585
"1:113","Mammut americanum",-85.241386,44.700279,0.126,0.0117,0.06885,0.01585
"1:114","Mammut americanum",-83.943886,43.558887,0.126,0.0117,0.06885,0.01585
"1:115","Mammut americanum",-84.09861,43.646667,0.126,0.0117,0.06885,0.01585
"1:116","Mammut americanum",-86.388336,42.193611,0.126,0.0117,0.06885,0.01585
"1:117","Mammut americanum",-86.23278,42.150555,0.126,0.0117,0.06885,0.01585
"1:118","Mammut americanum",-86.290833,42.050278,0.126,0.0117,0.06885,0.01585
"1:119","Mammut americanum",-86.543053,41.950279,0.126,0.0117,0.06885,0.01585
"1:120","Mammut americanum",-86.485001,41.935555,0.126,0.0117,0.06885,0.01585
"1:121","Mammut americanum",-86.465553,41.906666,0.126,0.0117,0.06885,0.01585
"1:122","Mammut americanum",-86.387497,41.805279,0.126,0.0117,0.06885,0.01585
"1:123","Mammut americanum",-86.445831,41.790833,0.126,0.0117,0.06885,0.01585
"1:124","Mammut americanum",-86.581108,41.805832,0.126,0.0117,0.06885,0.01585
"1:125","Mammut americanum",-85.907219,42.17889,0.126,0.0117,0.06885,0.01585
"1:126","Mammut americanum",-84.874443,41.948891,0.126,0.0117,0.06885,0.01585
"1:127","Mammut americanum",-84.912224,41.890835,0.126,0.0117,0.06885,0.01585
"1:128","Mammut americanum",-84.922501,42.285831,0.126,0.0117,0.06885,0.01585
"1:129","Mammut americanum",-84.513611,43.023335,0.126,0.0117,0.06885,0.01585
"1:130","Mammut americanum",-84.786942,42.42889,0.126,0.0117,0.06885,0.01585
"1:131","Mammut americanum",-84.865829,42.487499,0.126,0.0117,0.06885,0.01585
"1:132","Mammut americanum",-85.04361,42.501945,0.126,0.0117,0.06885,0.01585
"1:133","Mammut americanum",-84.671944,42.719166,0.126,0.0117,0.06885,0.01585
"1:134","Mammut americanum",-84.926109,42.763058,0.126,0.0117,0.06885,0.01585
"1:135","Mammut americanum",-83.528336,43.041668,0.126,0.0117,0.06885,0.01585
"1:136","Mammut americanum",-83.823334,43.081944,0.126,0.0117,0.06885,0.01585
"1:137","Mammut americanum",-83.508331,43.056389,0.126,0.0117,0.06885,0.01585
"1:138","Mammut americanum",-83.508888,43.099998,0.126,0.0117,0.06885,0.01585
"1:139","Mammut americanum",-84.484718,43.882221,0.126,0.0117,0.06885,0.01585
"1:140","Mammut americanum",-84.560555,43.371666,0.126,0.0117,0.06885,0.01585
